, Black and White,Color,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,actor_2_facebook_likes,movie_facebook_likes,duration,gross,budget,title_year,imdb_score,aspect_ratio,director_name_Barry Levinson,director_name_Brian De Palma,director_name_Chris Columbus,director_name_Clint Eastwood,director_name_Joel Schumacher,director_name_Martin Scorsese,director_name_Michael Bay,director_name_Oliver Stone,director_name_Renny Harlin,director_name_Richard Donner,director_name_Ridley Scott,director_name_Rob Reiner,director_name_Robert Rodriguez,director_name_Robert Zemeckis,director_name_Ron Howard,director_name_Shawn Levy,director_name_Spike Lee,director_name_Steven Soderbergh,director_name_Steven Spielberg,director_name_Tim Burton,director_name_Tony Scott,director_name_Woody Allen,actors_Anthony Hopkins,actors_Bill Murray,actors_Brad Pitt,actors_Bruce Willis,actors_Christian Bale,actors_Denzel Washington,actors_Harrison Ford,actors_J.K. Simmons,actors_Jim Broadbent,actors_Johnny Depp,actors_Julia Roberts,actors_Liam Neeson,actors_Matt Damon,actors_Matthew McConaughey,actors_Meryl Streep,actors_Morgan Freeman,actors_Nicolas Cage,actors_Robert De Niro,actors_Robert Downey Jr.,actors_Robin Williams,actors_Scarlett Johansson,actors_Steve Buscemi,actors_Tom Cruise,actors_Tom Hanks,actors_Will Ferrell,genre_,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_Game-Show,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Reality-TV,genre_Romance,genre_Sci-Fi,genre_Short,genre_Sport,genre_Thriller,genre_War,genre_Western,country_Australia,country_Canada,country_China,country_France,country_Germany,country_Hong Kong,country_India,country_Italy,country_Japan,country_Mexico,country_New Zealand,country_Russia,country_South Korea,country_Spain,country_UK,country_USA,content_rating_Approved,content_rating_G,content_rating_GP,content_rating_M,content_rating_NC-17,content_rating_Not Rated,content_rating_PG,content_rating_PG-13,content_rating_Passed,content_rating_R,content_rating_TV-14,content_rating_TV-G,content_rating_TV-MA,content_rating_TV-PG,content_rating_TV-Y,content_rating_TV-Y7,content_rating_Unrated,content_rating_X,0
Avatar ,0,1,723.0,0.0,855.0,1000.0,886204.0,4834.0,0.0,3054.0,936.0,33000.0,178.0,760505847.0,237000000.0,2009.0,7.9,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.208885430379747
Pirates of the Caribbean: At World's End ,0,1,302.0,563.0,1000.0,40000.0,471220.0,48350.0,0.0,1238.0,5000.0,0.0,169.0,309404152.0,300000000.0,2007.0,7.1,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0313471733333333
Spectre ,0,1,602.0,0.0,161.0,11000.0,275868.0,11700.0,1.0,994.0,393.0,85000.0,148.0,200074175.0,245000000.0,2015.0,6.8,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8166292857142857
The Dark Knight Rises ,0,1,813.0,22000.0,23000.0,27000.0,1144337.0,106759.0,0.0,2701.0,23000.0,164000.0,164.0,448130642.0,250000000.0,2012.0,8.5,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.792522568
Star Wars: Episode VII - The Force Awakens             ,0,0,0.0,131.0,0.0,131.0,8.0,143.0,0.0,0.0,12.0,0.0,108.94297733115214,51513656.10272311,44086188.73595506,2002.7089000238607,7.1,2.208111192037066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1684760597304815
John Carter ,0,1,462.0,475.0,530.0,640.0,212204.0,1873.0,1.0,738.0,632.0,24000.0,132.0,73058679.0,263700000.0,2012.0,6.6,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.277052252559727
Tangled ,0,1,324.0,15.0,284.0,799.0,294810.0,2036.0,1.0,387.0,553.0,29000.0,100.0,200807262.0,260000000.0,2010.0,7.8,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.772335623076923
Avengers: Age of Ultron ,0,1,635.0,0.0,19000.0,26000.0,462669.0,92000.0,4.0,1117.0,21000.0,118000.0,141.0,458991599.0,250000000.0,2015.0,7.5,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.835966396
Harry Potter and the Half-Blood Prince ,0,1,375.0,282.0,10000.0,25000.0,321795.0,58753.0,3.0,973.0,11000.0,10000.0,153.0,301956980.0,250000000.0,2009.0,7.5,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.20782792
Batman v Superman: Dawn of Justice ,0,1,673.0,0.0,2000.0,15000.0,371639.0,24450.0,0.0,3018.0,4000.0,197000.0,183.0,330249062.0,250000000.0,2016.0,6.9,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.320996248
